INFO 2025-10-05 00:17:50,017 policy_store Creating new policy store
INFO 2025-10-05 00:17:50,351 posthog Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
INFO 2025-10-05 00:17:51,288 policy_store Policy store updated successfully
INFO 2025-10-05 00:17:51,288 views Policy store updated successfully
INFO 2025-10-05 00:17:51,290 basehttp "POST /api/moderation/upload-policy/ HTTP/1.1" 201 354
INFO 2025-10-05 00:17:54,253 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:01,270 basehttp "OPTIONS /api/moderation/moderate/ HTTP/1.1" 200 0
INFO 2025-10-05 00:18:01,317 views User vasusharma moderating file: I hate you.pdf
INFO 2025-10-05 00:18:01,317 SentenceTransformer Use pytorch device_name: cuda:0
INFO 2025-10-05 00:18:01,318 SentenceTransformer Load pretrained SentenceTransformer: all-MiniLM-L12-v2
INFO 2025-10-05 00:18:04,313 policy_store Loading existing policy store
INFO 2025-10-05 00:18:04,317 moderation_engine Starting moderation for: I hate you.pdf
INFO 2025-10-05 00:18:04,317 moderation_engine Loading PDF: I hate you.pdf
INFO 2025-10-05 00:18:04,319 moderation_engine Split I hate you.pdf into 1 chunks
INFO 2025-10-05 00:18:04,319 moderation_engine Processing 1 chunks for moderation
INFO 2025-10-05 00:18:04,319 llm Initializing RetrievalQA chain with k=3
INFO 2025-10-05 00:18:04,515 llm RetrievalQA moderation chain initialized successfully
DEBUG 2025-10-05 00:18:04,515 moderation_engine Moderating chunk 0/1: len=10
INFO 2025-10-05 00:18:04,827 _client HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-10-05 00:18:04,838 moderation_engine Chunk 0: VIOLATION detected
INFO 2025-10-05 00:18:04,838 moderation_engine Moderation complete for I hate you.pdf: verdict=violation_found, violations=1, reviews=0, allowed=0/1
INFO 2025-10-05 00:18:04,867 views Moderation complete for I hate you.pdf: verdict=violation_found
INFO 2025-10-05 00:18:04,870 basehttp "POST /api/moderation/moderate/ HTTP/1.1" 200 608
INFO 2025-10-05 00:18:07,251 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:19,065 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:23,761 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:24,132 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:25,704 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:26,157 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:26,490 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:27,528 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:29,146 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:34,471 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:34,826 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:35,169 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:35,930 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:37,304 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:37,667 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:38,991 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:39,333 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:39,724 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:51,701 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:52,103 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:18:52,411 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:18:59,689 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:00,462 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:19:00,888 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:01,630 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:19:02,629 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:03,582 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:05,561 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:13,273 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:14,271 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:19:15,622 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:20:50,122 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:20:51,096 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:20:55,850 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:20:57,283 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 255
INFO 2025-10-05 00:20:58,057 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 254
INFO 2025-10-05 00:21:03,307 basehttp "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
INFO 2025-10-05 00:21:03,327 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 31
INFO 2025-10-05 00:21:32,346 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
